"Name","Density","Temperature","Viscosity","Luminosity","Rarity","isGaseous","Block"
"tconstruct:flowing_molten_tin",2000,525,10000,0,"COMMON","false","tconstruct:molten_tin_fluid"
"tconstruct:flowing_molten_tinkers_bronze",2000,1000,10000,0,"COMMON","false","tconstruct:molten_tinkers_bronze_fluid"
"tconstruct:flowing_molten_tungsten",2000,1250,10000,0,"COMMON","false","tconstruct:molten_tungsten_fluid"
"tconstruct:flowing_molten_uranium",2000,1130,10000,0,"COMMON","false","tconstruct:molten_uranium_fluid"
"tconstruct:flowing_molten_zinc",2000,720,10000,0,"COMMON","false","tconstruct:molten_zinc_fluid"
"tconstruct:flowing_seared_stone",2000,900,10000,0,"COMMON","false","tconstruct:seared_stone_fluid"
"tconstruct:flowing_sky_slime",1500,310,1500,0,"COMMON","false","tconstruct:sky_slime_fluid"
"tconstruct:liquid_soul",1000,700,1000,0,"COMMON","false","tconstruct:liquid_soul_fluid"
"tconstruct:magma_cream",1900,600,1900,0,"COMMON","false","tconstruct:magma_cream_fluid"
"tconstruct:molten_aluminum",2000,725,10000,0,"COMMON","false","tconstruct:molten_aluminum_fluid"
"tconstruct:molten_blaze",3500,1800,10000,0,"COMMON","false","tconstruct:molten_blaze_fluid"
"tconstruct:molten_brass",2000,905,10000,0,"COMMON","false","tconstruct:molten_brass_fluid"
"tconstruct:molten_bronze",2000,1000,10000,0,"COMMON","false","tconstruct:molten_bronze_fluid"
"tconstruct:molten_clay",2000,750,10000,0,"COMMON","false","tconstruct:molten_clay_fluid"
"tconstruct:molten_cobalt",2000,1250,10000,0,"COMMON","false","tconstruct:molten_cobalt_fluid"
"tconstruct:molten_constantan",2000,1220,10000,0,"COMMON","false","tconstruct:molten_constantan_fluid"
"tconstruct:molten_copper",2000,800,10000,0,"COMMON","false","tconstruct:molten_copper_fluid"
"tconstruct:molten_debris",2000,1475,10000,0,"COMMON","false","tconstruct:molten_debris_fluid"
"tconstruct:molten_electrum",2000,1060,10000,0,"COMMON","false","tconstruct:molten_electrum_fluid"
"tconstruct:molten_emerald",2000,1234,10000,0,"COMMON","false","tconstruct:molten_emerald_fluid"
"tconstruct:molten_ender",2000,777,10000,0,"COMMON","false","tconstruct:molten_ender_fluid"
"tconstruct:molten_glass",2000,1050,10000,0,"COMMON","false","tconstruct:molten_glass_fluid"
"tconstruct:molten_gold",2000,1000,10000,0,"COMMON","false","tconstruct:molten_gold_fluid"
"tconstruct:molten_hepatizon",2000,1700,10000,0,"COMMON","false","tconstruct:molten_hepatizon_fluid"
"tconstruct:molten_invar",2000,1200,10000,0,"COMMON","false","tconstruct:molten_invar_fluid"
"tconstruct:molten_iron",2000,1100,10000,0,"COMMON","false","tconstruct:molten_iron_fluid"
"tconstruct:molten_knightslime",2000,1425,10000,0,"COMMON","false","tconstruct:molten_knightslime_fluid"
"tconstruct:molten_lead",2000,630,10000,0,"COMMON","false","tconstruct:molten_lead_fluid"
"tconstruct:molten_manyullyn",2000,1500,10000,0,"COMMON","false","tconstruct:molten_manyullyn_fluid"
"tconstruct:molten_netherite",2000,1550,10000,0,"COMMON","false","tconstruct:molten_netherite_fluid"
"tconstruct:molten_nickel",2000,1250,10000,0,"COMMON","false","tconstruct:molten_nickel_fluid"
"tconstruct:molten_obsidian",2000,1300,10000,0,"COMMON","false","tconstruct:molten_obsidian_fluid"
"tconstruct:molten_osmium",2000,1275,10000,0,"COMMON","false","tconstruct:molten_osmium_fluid"
"tconstruct:molten_pewter",2000,700,10000,0,"COMMON","false","tconstruct:molten_pewter_fluid"
"tconstruct:molten_pig_iron",2000,1111,10000,0,"COMMON","false","tconstruct:molten_pig_iron_fluid"
"tconstruct:molten_platinum",2000,1270,10000,0,"COMMON","false","tconstruct:molten_platinum_fluid"
"tconstruct:molten_queens_slime",2000,1450,10000,0,"COMMON","false","tconstruct:molten_queens_slime_fluid"
"tconstruct:molten_rose_gold",2000,850,10000,0,"COMMON","false","tconstruct:molten_rose_gold_fluid"
"tconstruct:molten_silver",2000,1090,10000,0,"COMMON","false","tconstruct:molten_silver_fluid"
"tconstruct:molten_slimesteel",2000,1200,10000,0,"COMMON","false","tconstruct:molten_slimesteel_fluid"
"tconstruct:molten_soulsteel",2000,1500,10000,0,"COMMON","false","tconstruct:molten_soulsteel_fluid"
"tconstruct:molten_steel",2000,1250,10000,0,"COMMON","false","tconstruct:molten_steel_fluid"
"tconstruct:molten_tin",2000,525,10000,0,"COMMON","false","tconstruct:molten_tin_fluid"
"tconstruct:molten_tinkers_bronze",2000,1000,10000,0,"COMMON","false","tconstruct:molten_tinkers_bronze_fluid"
"tconstruct:molten_tungsten",2000,1250,10000,0,"COMMON","false","tconstruct:molten_tungsten_fluid"
"tconstruct:molten_uranium",2000,1130,10000,0,"COMMON","false","tconstruct:molten_uranium_fluid"
"tconstruct:molten_zinc",2000,720,10000,0,"COMMON","false","tconstruct:molten_zinc_fluid"
"tconstruct:seared_stone",2000,900,10000,0,"COMMON","false","tconstruct:seared_stone_fluid"
"tconstruct:sky_slime",1500,310,1500,0,"COMMON","false","tconstruct:sky_slime_fluid"
"thermal:creosote",1050,300,3000,0,"COMMON","false","-"
"thermal:creosote_flowing",1050,300,3000,0,"COMMON","false","-"
"thermal:crude_oil",850,300,1400,0,"COMMON","false","-"
"thermal:crude_oil_flowing",850,300,1400,0,"COMMON","false","-"
"thermal:heavy_oil",850,300,1400,0,"COMMON","false","-"
"thermal:heavy_oil_flowing",850,300,1400,0,"COMMON","false","-"
"thermal:latex",950,300,2500,0,"COMMON","false","-"
"thermal:latex_flowing",950,300,2500,0,"COMMON","false","-"
"thermal:light_oil",850,300,1400,0,"COMMON","false","-"
"thermal:light_oil_flowing",850,300,1400,0,"COMMON","false","-"
"thermal:refined_fuel",750,300,800,0,"COMMON","false","-"
"thermal:refined_fuel_flowing",750,300,800,0,"COMMON","false","-"
"thermal:resin",900,300,3000,0,"COMMON","false","-"
"thermal:resin_flowing",900,300,3000,0,"COMMON","false","-"
"thermal:sap",1050,300,1500,0,"COMMON","false","-"
"thermal:sap_flowing",1050,300,1500,0,"COMMON","false","-"
"thermal:syrup",1400,300,2500,0,"COMMON","false","-"
"thermal:syrup_flowing",1400,300,2500,0,"COMMON","false","-"
"thermal:tree_oil",900,300,1200,0,"COMMON","false","-"
"thermal:tree_oil_flowing",900,300,1200,0,"COMMON","false","-"
